"dc_title","writer","dc_date"
"부엉이 만지고옴  ","ㅇㅇ(153.142)  ","15:41"
"요코하마, 고베랑 똥푸 해운대랑 쳐비교하네[1]  ","ㅇㅇ(211.36)  ","15:40"
"비트코인 드립니다  ","ㅇㅇ(125.137)  ","15:01"
"후쿠오카 먹을 거 뭐가 유명하냐[5]  ","ㅇㅇ(211.210)  ","14:53"
"님들 숙소는 어떻게잡아요??[1]  ","항공고향  ","14:39"
"헤헤 올라왔다  ","마이더스터치  ","14:38"
"야 마루노우치 전망대 어떻게 올라가냐  ","마이더스터치  ","14:13"
"일본 텐리시는 어떤곳이에요?[2]  ","12334(218.238)  ","13:34"
"마이코공원  ","..yaJ  ","12:28"
"키타큐슈 vs 오카야마, 타카마츠[6]  ","ㅇㅇ(211.12)  ","11:03"
"엔화 지금이라도살까 15일날 가는데 아[1]  ","유키마츠(119.64)  ","10:53"
"15일나고야공항도착후 신칸센타고 도쿄갈건데  ","유키마츠(119.64)  ","10:52"
"엔화 폭등해서 동남아갈까했는데[1]  ","ㅇㅇ(175.214)  ","09:45"
"얘 누군지암?[2]  ","ㅇㅇ(106.251)  ","09:44"
"[일본반응]점점 가난해지는 일본  ","ㅇㅇ(1.240)  ","09:09"
"어느 O친놈이 비상버튼 눌렀습니다 호롤롤로  ","프로외노자  ","08:56"
"저는 꿈, 희망, 열정, 근성 같은 말을 극혐합니다  ","프로외노자  ","08:36"
"오늘도 일본은 인신사고로 인한 지연입니다[1]  ","프로외노자  ","08:25"
"세계에서 책을 가장 많이 판 작가  ","단테(222.110)  ","08:11"
"일본가서 살면 좋은점[2]  ","ㅇㅇ(14.52)  ","08:00"
"일본에서 축구 어디사이트로봄?[1]  ","ㅇㅇ(1.33)  ","04:51"
"일본어가 외국어중에서 젤 배우기 만만함?[2]  ","ㅇㅇ(14.42)  ","04:23"
"자신의 ‘흑역사’도 웃음으로 승화시킨 스타는?","운영자","19.05.07"
"롯폰기에 명품 리폼거리가 있음??  ","ㅇㅇ(58.238)  ","01:35"
"일본에서 게이 BL물이 많은이유가 뭐임?[1]  ","ㅇㅇ(14.42)  ","00:11"
"모든 나라는 그 나라 국민의 수준에 맞는 정부를 갖는다[4]  ","ㅇㅇ(223.63)  ","05.07"
"친구가 환전 스토어같은데에서 현금을 엔화로 바꾸면 수수료없다는데  ","냥이근성펀치  ","05.07"
"후쿠시마쌀이 식당에서 쓰인다.[9]  ","ㅁ(113.130)  ","05.07"
"미국 달러를 5% 수수료 받고 엔화로 환전 vs [18]  ","냥이근성펀치  ","05.07"
"오사카 깄을때 식당에 초록색물??[4]  ","ㅏㅏ(14.44)  ","05.07"
"혼자 오사카쪽 묵으려는데 숙소는 어디가 좋을까요??[2]  ","ㅇㅇ(211.36)  ","05.07"
"이틀뒤 오사카행 항공권 시간, 가격 다 너무 애매한데  ","ㅇㅇ(122.35)  ","05.07"
"본인 집빌리는 스킬[6]  ","ㅇㅇ(14.38)  ","05.07"
"하 길 존나 해맸다..  ","ㅇㅇ(126.208)  ","05.07"
"근데 일본가면 꼭 여자만나야됨?  ","ㅇㅇ(106.102)  ","05.07"
"문재인은 이 두개로 끝장[3]  ","ㅇㅇㅇ(59.151)  ","05.07"
"아니 일본 쉐어하우스왜이리비싸[1]  ","ㅇㅇ(106.102)  ","05.07"
"직장에서 다 포기하니 무척이나 편안합니다 ㅇㅅㅇ[18]  ","프로외노자  ","05.07"
"30일동안 어디서살아야되[2]  ","ㅇㅇ(106.102)  ","05.07"
"칸나미신치 어떠냐[2]  ","ㅇㅇ(27.162)  ","05.07"
"일본기업 TOP20 시가총액 vs 한국기업 TOP20 시가총액.jpg[4]  ","ㅇㅇ(61.255)  ","05.07"
"한국 60년대 이전 생 남자들은 거진다 아들한테 폭력적이고 독재적이고 이  ","녹두장군♂  ","05.07"
"1박 2일 후쿠오카 간다[1]  ","가장띵청한세대(175.223)  ","05.07"
"이공계 종사자들이 이상한 사람들 많냐?? .TXT[1]  ","녹두장군♂  ","05.07"
"3시간컷 작업 2일째 하고있습니다 ㅇㅅㅇ[18]  ","프로외노자  ","05.07"
"6박7일 도쿄 60 ㄱㅊ?[2]  ","ㅇㅇ(117.111)  ","05.07"
"근데 일본혼자가는사람은 먼재미로 감 ㅋㅋㅋ[14]  ","ㅇㅇ(122.38)  ","05.07"
"일본 방사능 고민이다[3]  ","ㅇㅇ(110.70)  ","05.07"
"혼자일본갈려하는데 어떻게생각해?[2]  ","ㅇㅇ(106.102)  ","05.07"
"일본 비자 몇일정도가능함?[3]  ","ㅇㅇ(122.38)  ","05.07"
"소확행 스미맛생 보는데[2]  ","ㅇㅇ(182.228)  ","05.07"
"담주 도쿄가는데 비옴..[4]  ","ㅇㅇ(58.238)  ","05.07"
"후쿠오카 선배님들[1]  ","ㅇㅇ(220.77)  ","05.07"
"이거 회화책 잘 못 된거 맞냐?[1]  ","네비어  ","05.07"
"같이 일본 여행갈 여친 채팅으로 꼬신 썰~ 오글거림 주의[4]  ","니글니글(124.198)  ","05.07"
"살기좋은 세상을 만들자 .TXT[2]  ","녹두장군♂  ","05.07"
"vpn은 닥치고 AWS가 갑  ","흠터레스띵(61.77)  ","05.07"
"막아야합니다 [1]  ","ㅇㅇㅇ(59.151)  ","05.07"
"도쿄 여긴 꼭 가볼만하다 싶은데 추천좀[3]  ","항공고향  ","05.07"
"일본이건 한국이건 노답인 이유가.. ㅇㅅㅇ[19]  ","프로외노자  ","05.07"
"일본 주택가나 거리감성이 있어보이는 이유  ","일본거주자(120.75)  ","05.07"
"칸나미 신치어떠냐   ","ㅇㅇ(223.62)  ","05.07"
"여긴 왤케 일본사는척 하는 새기들이 많노  ","ㅇㅇ(180.34)  ","05.07"
"지금환전하냐?  ","ㅇㅇ(165.132)  ","05.07"
"엔화가왜계속오르냐 시발[1]  ","유키마츠(119.64)  ","05.07"
"[일본반응] 역대급 외교굴욕, 당황한 아베  ","ㅇㅇ(1.240)  ","05.07"
"요코하마 스타디움 다녀왔습니다[1]  ","블루산천  ","05.07"
"후쿠오카왔는데 여자친구 선물로 줄것 알려줘  ","왓ㅅ(126.204)  ","05.07"
"난 일본이 좋다[1]  ","ㅇㅇ(210.121)  ","05.07"
"후쿠오카에서 걷다가 후레쉬로 눈뽕 맞았는데[2]  ","ㅇㅇ(126.189)  ","05.07"
"일본 비제이들 방송은[5]  ","ㅇㅇㅇ(59.151)  ","05.07"
"지끔 김포공항가는 길이다.[3]  ","콩와스끼울  ","05.07"
"금을 너무 많이 가진 국가[4]  ","단테(222.110)  ","05.07"
"자신의 ‘흑역사’도 웃음으로 승화시킨 스타는?","운영자","19.05.07"
"솔직히 서민한테는 한국이 살기 좋아[9]  ","조선누룽지  ","05.07"
"일본여행 10월에 처음 가보려는데 어디가 좋을까여  ","ㄱㄱㄱㄱ(121.141)  ","05.07"
"도쿄워홀 초기자금 400이면 알바는 언제쯤 구하는게좋음?[2]  ","ㅇㅇ(183.97)  ","05.07"
"일본 주택가 갬성[1]  ","북두무쌍  ","05.06"
"일본남자중에 마르고 미소년같은남자 많은이유가 모임?[1]  ","ㅇㅇ(59.7)  ","05.06"
"한국인 통역들은 통역 지멋대로 해??[7]  ","녹두장군♂  ","05.06"
"일본여행가서 식당같은거 들어가서 인사할때 뭐라고하냐?[2]  ","ㅇㅍ(14.52)  ","05.06"
"아시아의 심장 도쿄[6]  ","ㅇㅇㅇ(112.184)  ","05.06"
"국뽕들의 고약한 심보 ㅋㅋㅋ  ","ek(77.111)  ","05.06"
"서울은 말이지  ","ㅇㅇㅇ(59.151)  ","05.06"
"급하게 휴가 생겨서 일본 가려는데 후쿠오카 vs[1]  ","ㅇㅇ(122.35)  ","05.06"
"일본감성은 깨끗한 레트로느낌에서 나옴[1]  ","ㅇㅇㅇ(112.184)  ","05.06"
"일본 도시의 감성이 어디서 나온다고 보냐?[3]  ","일여갤(221.167)  ","05.06"
"국뽕들 의견이 존중받으려면 20년은 지나야..  ","일여갤(221.167)  ","05.06"
"아 일본 여행가고 싶다.. 자살 말림  ","ㅇㅇ(223.62)  ","05.06"
"이런 아고다에서 숙소 예약했는데[2]  ","오므라이스  ","05.06"
"빌딩 같은 거 아무 의미 없음[4]  ","일여갤(221.167)  ","05.06"
"여친이 일본의 자기계발 방송을 보는데 무섭네요 ㅇㅅㅇ[18]  ","프로외노자  ","05.06"
"쇼도시마[1]  ","쉐어피드  ","05.06"
"일본의 창조경제[1]  ","ㅇㅇ(110.70)  ","05.06"
"좆본은 한국에 발리지[9]  ","ㅇㅇ(121.162)  ","05.06"
"부산은 아직 오사카에 상대가 안되지  ","ㅇㅇ(117.111)  ","05.06"
"국뽕 일뽕 거르고 40년전 도쿄 에베베하는거 자체가 웃김ㅋㅋ  ","ㅇㅇ(122.24)  ","05.06"
"환전했는데 80만원 주니깐 7만5천엔 준다...  ","ㅇㅇ(122.45)  ","05.06"
"8월초 도쿄가는 뱅기가 없을리는 없죠??[2]  ","가짜포수주효상  ","05.06"
"부산이랑 오사카랑 비교하는거 존나웃김ㅋㅋㅋ[6]  ","ㅇㅇ(110.70)  ","05.06"
"엔화 환율 왜이러냐[1]  ","ㅇㅇ(175.223)  ","05.06"
"교토 -> 도쿄 5박6일 여행  ","ㅇㅇ(125.130)  ","05.06"
"나보고 목소리가 켁코 좋다라고 하는데[1]  ","ㅇㅇ(121.1)  ","05.06"
"도쿄에 이런 빌딩 있음?ㅋㅋㅋ[5]  ","ㅇㅇ(211.36)  ","05.06"
"ㅋㅋㅋㅋ 2020년엔 일본 gdp 뛰어넘는다고 하던데[1]  ","ㅇㅇ(124.101)  ","05.06"
"이제 서울정도면 도쿄에 안꿀리지[5]  ","ㅇㅇ(211.36)  ","05.06"
"대만이랑 1인당 GDP 계속 벌어지는데 대만 ㅋㅋㅋㅋ[11]  ","ㅇㅇ(182.230)  ","05.06"
"1인당 GDP 한국이 일본 턱밑까지 추격해서 배아픈가보네[2]  ","ㅇㅇ(182.230)  ","05.06"
"40년전이 60년댄줄 아는 일뽕..[4]  ","ㅇㅇ(182.230)  ","05.06"
"똥쿄는 수십년째 무변화..[11]  ","ㅇㅇ(182.230)  ","05.06"
"??? : 40년전이랑 다른게 없노?  ","ㅇㅇ(124.101)  ","05.06"
"??? : 똥푸산은 도쿄 압살한다[3]  ","ㅇㅇ(124.101)  ","05.06"
"요코하마 정도면 송도나올 필요없음[4]  ","ㅇㅇ(182.230)  ","05.06"
"렌탈유심 써본사람있냐 여행갈때  ","유키마츠(119.64)  ","05.06"
"도쿄 압살하는 국내 도시들 [8]  ","ㅇㅇ(182.230)  ","05.06"
"중국하고 우리랑 동급인데, 굳이 일본하고 비교를..,[4]  ","ㅇㅇ(223.62)  ","05.06"
"후쿠오카 CBD는 저기가 아닌데???[1]  ","ㅇㅇ(211.36)  ","05.06"
"삿포로 vs 후쿠오카 vs 대전 CBD비교[14]  ","ㅇㅇ(182.230)  ","05.06"
"센징들이 좀 미개하고 열등함[6]  ","ㅇㅇ(211.187)  ","05.06"
"근데 일본 지진 ㅈㄴ많이난다매[1]  ","ㅇㅇ(122.38)  ","05.06"
"올해 일본 세 번 다녀왔다...[2]  ","쉐어피드  ","05.06"
"[일본반응]한국정부에 또 다시 쿠사리먹은 일본[1]  ","ㅇㅇ(1.240)  ","05.06"
"미프 특징[1]  ","ㅇㅇ(118.158)  ","05.06"
"역사적으로봐도 한국인은 이기적이고 비열하긴 했지..  ","ㅇㅇ(27.100)  ","05.06"
"자신의 ‘흑역사’도 웃음으로 승화시킨 스타는?","운영자","19.05.07"
"미개한 한국인 욕하는건 사실 맞는 행동이라고 본다.[3]  ","ㅇㅇ(27.100)  ","05.06"
"(일뽕아님) 한국인들 종특 적어본다.[8]  ","ㅇㅇ(27.100)  ","05.06"
"아씨발 폴라리X오피스 쌍련들  ","울프컷일진(119.149)  ","05.06"
"한국은 불따충이너무많음. 게임만정품 나머진 토렌트[1]  ","울프컷일진(119.149)  ","05.06"
"환율 까놓고 2000원대로 올라야함 그래야지 일뽕 씹새끼들이  ","ㅇㅇ(118.36)  ","05.06"
"일본에 집샀다 시발들아[1]  ","ㅇㅇ(118.158)  ","05.06"
"귀엽게 생긴 일본 여성들이 좋아하는 남자 외모와 음악에 대해서 알아보자  ","ㅇㅇ(212.103)  ","05.06"
"일본의 골목길이 이국적이게 보이는 이유.jpg[10]  ","ㅇㅇ(112.145)  ","05.06"
"한일부부헤어진거어쩌라고 [1]  ","ㅇㅇ(119.64)  ","05.06"
"일본어 공부하거나 하는 애들 한일커플 이런거에 관심 왜이리 많냐[2]  ","흥궈신  ","05.06"
"마이스터고랑 특성화고가 다른거구나[8]  ","울프컷일진(117.111)  ","05.06"
"6박7일가는데 유심vs포켓와이파이 ㅊㅊ좀  ","유키마츠(119.64)  ","05.06"
"한국에서 공무원 생활 오래한 사람들이 존나 무례해?  ","녹두장군♂  ","05.06"
"일본인도 서양가면 인종차별 받음?[2]  ","ㅇㅇ(125.142)  ","05.06"
"카에뎅코 방송 지수 피셜 나온거 알려줌  ","ㅇㅇ(36.39)  ","05.06"
"예전엔 야자강제,두발규정 왜있던거지? @@얼어죽을 0교시[1]  ","울프컷일진(117.111)  ","05.06"
"펌) 한일부부 카에뎅코 지수 이혼 정리.TXT  ","ㅇㅇ(36.39)  ","05.06"
"카에뎅코 유튜브 한일부부 결국 헤어짐[5]  ","ㅇㅇ(36.39)  ","05.06"
"일본거주 3년째인데 외식은 한국이 좋은듯[14]  ","일본거주(143.189)  ","05.06"
"여기 애들 싸우는 이유를 모르겠다 진짜 ㅋㅋㅋㅋ  ","조선누룽지  ","05.05"
"엔화가자꾸올라요..[1]  ","키보드  ","05.05"
"일본에서 먹은 녹차는 이게 젤맛있더라[2]  ","ㅇㅇㅇ(112.184)  ","05.05"
"후쿠오카 여행 이것보다 좋게짜기 불가능 ㅇㅈ?[2]  ","억(118.235)  ","05.05"
"충격적인 일여갤의 진실 ㅋㅋ  ","급식먹자  ","05.05"
"삿포로랑 대전이랑 비슷하구나  ","ㅇㅇ(182.230)  ","05.05"
"서울은 솔직히 방콕만도 못하지[2]  ","일빠가 무서움(122.32)  ","05.05"
"일본에서 한국겜 vpn 해서 하시는분게십니가[3]  ","지페리  ","05.05"
"일본도시들은 지방도시들 수준이[10]  ","일빠척결(122.32)  ","05.05"
"후쿠오카 CBD vs 대전 CBD  ","ㅇㅇ(182.230)  ","05.05"
"요새 한국 지방도시들도 발전 많이했구나  ","ㅇㅇ(182.230)  ","05.05"
"국영 방송 주작 수준  ","ㅇㅇ(118.37)  ","05.05"
"광주 포스 ㅎㄷㄷ  ","ㅇㅇ(182.230)  ","05.05"
"일본인들 한국인 많이 싫어함?  ","ㅇㅇ(118.216)  ","05.05"
"프랑스가 유럽문화 영향력 높은이유가 모임?[2]  ","ㅇㅇ(14.42)  ","05.05"
"내가 목조건물서 쇼크받은게[7]  ","ㅇㅇ(14.38)  ","05.05"
"도쿄 집값 어디가 제일쌈?[1]  ","ㅇㅇ(122.202)  ","05.05"
"내 생각에 일본 기준감각 으로 쓰레기 수준 인간이 한국에선 그냥 보통으로  ","미카엘05  ","05.05"
"나는 이게 젤 궁금하던데  ","ㅇㅇㅇ(112.184)  ","05.05"
"근데 일본지진 진짜많이남?[1]  ","ㅇㅇ(122.38)  ","05.05"
"형들 남자 혼자 후쿠오카 짧게 가는건 재미없어?[2]  ","ㅇㅇ(222.112)  ","05.05"
"진짜일뽕이 추천하는 체인점 라멘집 ...jpg[20]  ","ㅇㅇ(210.100)  ","05.05"
"2020 도쿄올림픽때 숙소값 얼마나 뛸지 벌써부터 ㄷㄷ[21]  ","ㅇㅇ(210.100)  ","05.05"
"제가 좋아하는 신주쿠도 도로 한번 싹 밀긴해야합니다[20]  ","ㅇㅇ(210.100)  ","05.05"
"210.100..오늘 웃겼다[7]  ","ㅇㅇ(115.161)  ","05.05"
"형님들 결혼비자 받는건 쉬워?[1]  ","ㅇㅇ(183.99)  ","05.05"
"jlpt1급딸려면 단어 몇개 외워야함?[3]  ","ㅇㅇ(14.42)  ","05.05"
"2주잡고 시즈오카 가려함[1]  ","ㅇㅇ(124.63)  ","05.05"
"8월에 일본 혼자 갈건데 조언좀요[2]  ","ㅇㅇ(39.7)  ","05.05"
"이런 놈들이 많으니까 비리나 부정이 끊임없이 일어나지[1]  ","ㅇㅇ(162.244)  ","05.05"
"일본아재들도 한국드라마존나보드만  ","ㅇㅇㅇ(106.241)  ","05.05"
"자신의 ‘흑역사’도 웃음으로 승화시킨 스타는?","운영자","19.05.07"
"칸나미신치 가본갤러있냐[2]  ","ㅇㅇ(59.15)  ","05.05"
"신고를 받고 해당 글을 확인하는 디시인사이드 직원에게 알립니다[3]  ","ㅇㅇ(185.165)  ","05.05"
"나루히토 = 일본 마지막 천황, 레이와 = 일본 최후의 연호[1]  ","ㅇㅇ(39.7)  ","05.05"
"내 글 삭제하는거 보면 희열감 느낀다 ㅅㅌㅊ  ","ㅇㅇ(219.254)  ","05.05"
"솔직히 문재인vs아베 누구뽑냐?[3]  ","ㅇㅅㅇ(153.234)  ","05.05"
"애국 반일전사들은 왜 분노 하지 않음?[1]  ","ㅇㅅㅇ(153.234)  ","05.05"
"일본사는 한국인들중 꼰대력 넘치는 애들 왜이리 많냐[4]  ","흥궈신  ","05.05"
"2천만원정도 모아놓았는데 워홀 갈만함?[5]  ","ㅇㅇ(223.62)  ","05.05"
"일본에서 계속 살생각이면 지방도시는 피해라. [1]  ","일본거주자(103.5)  ","05.05"
"[일본반응]전범기업 자산 매각절차 시작[1]  ","ㅇㅇ(1.240)  ","05.05"
"드디어 찾았다 한달 24 주차장무료 관광패스 역까지 도보8~10분[2]  ","ㅇㅇ(14.38)  ","05.05"
"근데 일본워홀가면 재밋지않음?[1]  ","ㅇㅇ(14.42)  ","05.05"
"님들 5박6일 사는데[7]  ","%20ㅇㅇ(175.223)  ","05.05"
"도쿄가 붐비는 것 같아?  ","ㅇㅇ(211.36)  ","05.05"
"사진몇장[2]  ","愛野美奈子  ","05.05"
"후쿠오카 부동산 잘아는사람 있냐?[1]  ","ㅇㅇ(14.38)  ","05.05"
"미프하다가 너무 예쁜 케이팝빠순이를 봤다...와 인형같다  ","ㅇㅇ(125.179)  ","05.05"
"일본 첨가는데 스카이라이너랑 메트로패스같은거 미리 사둬야돼?[1]  ","ㅇㅍ(14.52)  ","05.05"
"일본여자친구가 임신하면 바로 결혼비자 가능한거냐?[1]  ","ㅇㅇ(175.223)  ","05.05"
"고베온천추천좀  ","온천(117.111)  ","05.05"
"일가싶ㅜㅜ  ","ㅇㅇ(123.215)  ","05.05"
"이공계 종사자들이 이상한 사람들 많냐?? 내 애비 연구원 이었는데.  ","미카엘05  ","05.05"
"오사카 여행 이렇게갈껀대 조언좀해주어  ","ㅇㅇ(182.225)  ","05.05"
"일본인들이랑 실시간 말할 수 있는 곳 없냐?[1]  ","ㅇㅇ(116.123)  ","05.05"
"님들 도요토미 히데요시는 오사카성이 본진이잖음[1]  ","dd(183.101)  ","05.05"
"토비타신지 몇시부터 몇시까진가요  ","ㅇㅇ(27.253)  ","05.04"
"일뽕특)[1]  ","ㅇㅇ(219.254)  ","05.04"
"오오에도 온천 갔다가 스카이 트리 하루에 가능한 코스인가요 ?[4]  ","안뇽(119.195)  ","05.04"
"210.100  백수   ","ㅇㅇ(115.161)  ","05.04"
"도쿄 내일 19시인데 1000엔으로 즐기기 공모전[4]  ","ㅇㅇ(58.93)  ","05.04"
"도쿄 시부야 포스[5]  ","과객(124.199)  ","05.04"
"북큐슈 레일패스 질문좀[2]  ","ㅇㅇ(122.128)  ","05.04"
"교토의 골목길[1]  ","ㅇㅇㅇ(106.241)  ","05.04"
"진정한 일뽕이 되기 위해서는 훈도시를 착용  ","과객(124.199)  ","05.04"
"요즘 한국에서 일본기업자산 강제로 팔아버린다고 난리인데 솔직한 내 의견[24]  ","일빠아님(1.144)  ","05.04"
"일본 노숙자 클라스[2]  ","과객(124.199)  ","05.04"
"나 남자인데 헬로톡상대방 여자밖에없냐??[2]  ","백4영  ","05.04"
"도쿄 데리좀 불러줄사람[1]  ","ㅇㅇ(126.208)  ","05.04"
"가고시마엔 피규어샵 없어??[2]  ","일린이(126.146)  ","05.04"
"오사카 7월1일에가는데 미친듯이더움?[1]  ","ㅇㅇ(125.134)  ","05.04"
"문재앙 문적폐 문정은 탄핵청원[7]  ","ㅇㅇㅇ(59.151)  ","05.04"
"네일동도 그렇고 여행카페 보면 [3]  ","ㅇㅇ(77.119)  ","05.04"
"히키코모리가 용기내서 나홀로 일본여행간다...[3]  ","ㅇㅇ(175.113)  ","05.04"
"헬조선 아이들의 밝은 미래[5]  ","ㅇㅇ(115.161)  ","05.04"
"포켓와이파이 추천점[2]  ","ㅇㅇ(223.63)  ","05.04"
"일본어 배울떄 단어외우는거 원래 젤 빡샌거임?[2]  ","ㅇㅇ(14.42)  ","05.04"
"역시 갓본!!! 선진문화!!  ","ㅇㅇ(110.70)  ","05.04"
"연휴 비행기표 가격폭등 매진이내[9]  ","고둑  ","05.04"
"전라도는 진짜 ㅋㅋㄱㅋㅋㅋ[1]  ","ㅇㅇ(222.234)  ","05.04"
"아침은 나또와 함께[2]  ","au(134.180)  ","05.04"
"자신의 ‘흑역사’도 웃음으로 승화시킨 스타는?","운영자","19.05.07"
"키187인증해봐 ㅋㅋ[3]  ","ㅇㅇ(223.62)  ","05.04"
"일본은 키 170이하면 살기좋은듯[2]  ","ㅇㅇ(110.70)  ","05.04"
"일본캡슈호텔 문의[4]  ","ㅁㅁ(222.114)  ","05.04"
"일본가서 쇼핑한다는게 뭘사는거야[14]  ","ㄹㅇ(121.165)  ","05.04"
"일본 축제에서 훈도시 착용  ","훈도시맨(124.199)  ","05.04"
"일본이 진짜 부러운거 딱하나.jpg[13]  ","ㅇㅇ(39.110)  ","05.04"
"디시에서 혐한 활동하는 조선족,화교,일본인 등 외국인 분석[2]  ","인간(124.199)  ","05.04"
"천황 전쟁 책임 언급했다가 총 맞음  ","인간(124.199)  ","05.04"
"일본은 자기들이 탈아시아라면서 왜유럽이 여성인권높은것처럼 자기들은안높음?[2]  ","ㅇㅇ(59.7)  ","05.04"
"일본은 왜 1인가구 독신이많은거임?[3]  ","ㅇㅇ(59.7)  ","05.04"
"한국인이 유독 무례한 사람이 많고, 무례 정도도 심한가?[2]  ","미카엘05  ","05.04"
"히로오 근처에 할곳 없냐?  ","ㄴㄴ(126.208)  ","05.04"
"근데 일본에살아도 별다를게 없지않음?[1]  ","ㅇㅇ(59.7)  ","05.04"
"일본살고있으며뉴집에 그냥 데리 부를수있냐[2]  ","으암  ","05.04"
"일드갤의 유일한 61살 중졸 버러지 조현병 틀딱을 소개합니다  ","ㅇㅇ(175.211)  ","05.03"
"근데 오사카는 관심없고 도쿄만 관심있는대[2]  ","ㅇㅇ(59.7)  ","05.03"
"일본워홀가면 대부분 돈 못모음?[3]  ","ㅇㅇ(59.7)  ","05.03"
"<U+30FC>と─ 이 두개중에 뭐써요??[1]  ","ㅇㅇ(116.47)  ","05.03"
"범죄자가 지폐인물로 들어가는 나라...jpg  ","ㅇㅇ(162.243)  ","05.03"
"플릭입력이랑 게타이입력이 머에요 ㅠㅠ[4]  ","ㅇㅇ(116.47)  ","05.03"
"오사카가면 보통 무슨음식 먹음?[2]  ","ㅇㅇ(59.7)  ","05.03"
"일본인들 컴퓨터나 스마트폰 키보드 뭐써요??[5]  ","ㅇㅇ(116.47)  ","05.03"
"역사를 전해줄 줄 모른다는게 한국인과 중국인의 공통점 같다.  ","ㅇㅇ(118.221)  ","05.03"
"전역하면 5백가지고 일본여행 오지게 다녀야지 ㅇㅇ[3]  ","大阪民<U+56FD>(106.101)  ","05.03"
"일드갤의 유일한 61살 중졸 버러지 틀딱을 소개합니다  ","ㅇㅇ(1.236)  ","05.03"
"조선통신사들이 일본에서 갑질, 진상짓 존나 했냐?[2]  ","미카엘05  ","05.03"
"빈곤층 중에 경우, 예의 없고. 질 떨어지는 인간들 존나 많냐??  ","미카엘05  ","05.03"
"오늘자 안주.jpg  ","ㅇㅇ(126.205)  ","05.03"
"일본어 능력자 형님들...호텔서 메일이 왔는데 이거 해석 좀 부탁할게요[4]  ","ㅇㅇ(122.45)  ","05.03"
"얼마전에 갤에 올라온 타베로그 랭킹1위 돈까스집 갔다옴[1]  ","정보소양  ","05.03"
"오키나와 렌트없으면 불편한가요?[3]  ","ㅇㅇ(153.248)  ","05.03"
"일본여행지 추천좀요  ","ㅇㅇㅇ(14.46)  ","05.03"
"저의 '가짜일뽕' 이론이 점점 맞아 떨어지는군요wwww[20]  ","ㅇㅇ(210.100)  ","05.03"
"일본여행 [1]  ","ㅇㅇㅇ(223.33)  ","05.03"
"일본의 새 연호를 축하하는 애플의 CEO[1]  ","ㅇㅇ(110.70)  ","05.03"
"일본 사는데 스키야 레알 후쿠시마산 쓰냐[4]  ","ㅇㅇ(110.165)  ","05.03"
"신한 atm 환전 30만원밖에 안됨?  ","ㅁㄴㅇ(110.15)  ","05.03"
"보닌 한국서 블루보틀 핫하길래 갔다왔자너[3]  ","dd(150.246)  ","05.03"
"교토는 소프가없는거임?[4]  ","ㅇㅇ(223.38)  ","05.03"
